Card_ID,Card_Name,Card_Set,Card_Type,Class,Rarity,Mana_Cost,Attack,Health,Mechanics,Race,Collectible
EX1_582,Dalaran Mage,Basic,Minion,Neutral,Free,3,1,4,Spell Damage,,TRUE
CS2_061,Drain Life,Basic,Spell,Warlock,Free,3,,,,,TRUE
EX1_129,Fan of Knives,Basic,Spell,Rogue,Free,3,,,,,TRUE
CS2_106,Fiery War Axe,Basic,Weapon,Warrior,Free,3,3,2,,,TRUE
EX1_565,Flametongue Totem,Basic,Minion,Shaman,Free,3,0,3,"Adjacent Buff, Aura",Totem,TRUE
CS2_026,Frost Nova,Basic,Spell,Mage,Free,3,,,Freeze,,TRUE
CS2_007,Healing Touch,Basic,Spell,Druid,Free,3,,,,,TRUE
NEW1_034,Huffer,Basic,Minion,Hunter,Common,3,4,2,Charge,Beast,FALSE
CS2_141,Ironforge Rifleman,Basic,Minion,Neutral,Free,3,2,2,Battlecry,,TRUE
CS2_125,Ironfur Grizzly,Basic,Minion,Neutral,Free,3,3,3,Taunt,Beast,TRUE
EX1_539,Kill Command,Basic,Spell,Hunter,Free,3,,,,,TRUE
NEW1_033,Leokk,Basic,Minion,Hunter,Common,3,2,4,Aura,Beast,FALSE
CS2_118,Magma Rager,Basic,Minion,Neutral,Free,3,5,1,,Elemental,TRUE
NEW1_032,Misha,Basic,Minion,Hunter,Common,3,4,4,Taunt,Beast,FALSE
BCON_008,Nature's Champion,Basic,Spell,Druid,Free,3,,,,,FALSE
CS2_122,Raid Leader,Basic,Minion,Neutral,Free,3,2,2,Aura,,TRUE
CS2_196,Razorfen Hunter,Basic,Minion,Neutral,Free,3,2,3,Battlecry,,TRUE
CS2_011,Savage Roar,Basic,Spell,Druid,Free,3,,,,,TRUE
CS2_057,Shadow Bolt,Basic,Spell,Warlock,Free,3,,,,,TRUE
EX1_622,Shadow Word: Death,Basic,Spell,Priest,Free,3,,,,,TRUE
EX1_019,Shattered Sun Cleric,Basic,Minion,Neutral,Free,3,3,2,Battlecry,,TRUE
EX1_606,Shield Block,Basic,Spell,Warrior,Free,3,,,,,TRUE
CS2_127,Silverback Patriarch,Basic,Minion,Neutral,Free,3,1,4,Taunt,Beast,TRUE
EX1_084,Warsong Commander,Basic,Minion,Warrior,Free,3,2,3,"Charge, Aura",,TRUE
CS2_013,Wild Growth,Basic,Spell,Druid,Free,3,,,,,TRUE
CS2_124,Wolfrider,Basic,Minion,Neutral,Free,3,3,1,Charge,,TRUE
CS2_092,Blessing of Kings,Basic,Spell,Paladin,Free,4,,,,,TRUE
CS2_182,Chillwind Yeti,Basic,Minion,Neutral,Free,4,4,5,,,TRUE
CS2_093,Consecration,Basic,Spell,Paladin,Free,4,,,,,TRUE
EX1_025,Dragonling Mechanic,Basic,Minion,Neutral,Free,4,2,4,Battlecry,,TRUE
CS2_029,Fireball,Basic,Spell,Mage,Free,4,,,,,TRUE
CS2_147,Gnomish Inventor,Basic,Minion,Neutral,Free,4,2,4,Battlecry,,TRUE
CS2_094,Hammer of Wrath,Basic,Spell,Paladin,Free,4,,,,,TRUE
CS2_062,Hellfire,Basic,Spell,Warlock,Free,4,,,,,TRUE
EX1_246,Hex,Basic,Spell,Shaman,Free,4,,,Taunt,,TRUE
DS1_070,Houndmaster,Basic,Minion,Hunter,Free,4,4,3,"Taunt, Battlecry",,TRUE
NEW1_011,Kor'kron Elite,Basic,Minion,Warrior,Free,4,4,3,Charge,,TRUE
DS1_183,Multi-Shot,Basic,Spell,Hunter,Free,4,,,,,TRUE
CS2_119,Oasis Snapjaw,Basic,Minion,Neutral,Free,4,2,7,,Beast,TRUE
CS2_197,Ogre Magi,Basic,Minion,Neutral,Free,4,4,4,Spell Damage,,TRUE
EX1_191,Plaguebringer,Basic,Minion,Rogue,Free,4,3,3,"Battlecry, Poisonous",,TRUE
CS2_022,Polymorph,Basic,Spell,Mage,Free,4,,,,,TRUE
CS2_179,Sen'jin Shieldmasta,Basic,Minion,Neutral,Free,4,3,5,Taunt,,TRUE
CS2_131,Stormwind Knight,Basic,Minion,Neutral,Free,4,2,5,Charge,,TRUE
CS2_012,Swipe,Basic,Spell,Druid,Free,4,,,,,TRUE
CS2_097,Truesilver Champion,Basic,Weapon,Paladin,Free,4,4,2,,,TRUE
CS2_033,Water Elemental,Basic,Minion,Mage,Free,4,3,6,Freeze,Elemental,TRUE
EX1_587,Windspeaker,Basic,Minion,Shaman,Free,4,3,3,"Windfury, Battlecry",,TRUE
CS2_112,Arcanite Reaper,Basic,Weapon,Warrior,Free,5,5,2,,,TRUE
CS2_080,Assassin's Blade,Basic,Weapon,Rogue,Free,5,3,4,,,TRUE
CS2_076,Assassinate,Basic,Spell,Rogue,Free,5,,,,,TRUE
CS2_046,Bloodlust,Basic,Spell,Shaman,Free,5,,,,,TRUE
CS2_187,Booty Bay Bodyguard,Basic,Minion,Neutral,Free,5,5,4,Taunt,,TRUE
DS1_055,Darkscale Healer,Basic,Minion,Neutral,Free,5,4,5,Battlecry,,TRUE
CS2_226,Frostwolf Warlord,Basic,Minion,Neutral,Free,5,4,4,Battlecry,,TRUE
EX1_399,Gurubashi Berserker,Basic,Minion,Neutral,Free,5,2,7,,,TRUE
CS1_112,Holy Nova,Basic,Spell,Priest,Free,5,,,,,TRUE
EX1_593,Nightblade,Basic,Minion,Neutral,Free,5,4,4,Battlecry,,TRUE
BCON_004,Polymorph: ???,Basic,Spell,Mage,Free,5,,,Discover,,FALSE
CS2_237,Starving Buzzard,Basic,Minion,Hunter,Free,5,3,2,,Beast,TRUE
CS2_150,Stormpike Commando,Basic,Minion,Neutral,Free,5,4,2,Battlecry,,TRUE
DS1_178,Tundra Rhino,Basic,Minion,Hunter,Free,5,2,5,"Charge, Aura",Beast,TRUE
CS2_155,Archmage,Basic,Minion,Neutral,Free,6,4,7,Spell Damage,,TRUE
CS2_200,Boulderfist Ogre,Basic,Minion,Neutral,Free,6,6,7,,,TRUE
CS2_064,Dread Infernal,Basic,Minion,Warlock,Free,6,6,6,Battlecry,Demon,TRUE
CS2_042,Fire Elemental,Basic,Minion,Shaman,Free,6,6,5,Battlecry,Elemental,TRUE
CS2_162,Lord of the Arena,Basic,Minion,Neutral,Free,6,6,5,Taunt,,TRUE
CS2_213,Reckless Rocketeer,Basic,Minion,Neutral,Free,6,5,2,Charge,,TRUE
EX1_173,Starfire,Basic,Spell,Druid,Free,6,,,,,TRUE
CS2_201,Core Hound,Basic,Minion,Neutral,Free,7,9,5,,Beast,TRUE
CS2_032,Flamestrike,Basic,Spell,Mage,Free,7,,,,,TRUE
CS2_088,Guardian of Kings,Basic,Minion,Paladin,Free,7,5,6,Battlecry,,TRUE
CS2_077,Sprint,Basic,Spell,Rogue,Free,7,,,,,TRUE
CS2_222,Stormwind Champion,Basic,Minion,Neutral,Free,7,6,6,Aura,,TRUE
CS2_186,War Golem,Basic,Minion,Neutral,Free,7,7,7,,,TRUE
CS2_232,Ironbark Protector,Basic,Minion,Druid,Free,8,8,8,Taunt,,TRUE
CS1_113,Mind Control,Basic,Spell,Priest,Free,10,,,,,TRUE
EX1_621,Circle of Healing,Classic,Spell,Priest,Common,0,,,,,TRUE
DREAM_04,Dream,Classic,Spell,Dream,,0,,,,,FALSE
EX1_607,Inner Rage,Classic,Spell,Warrior,Common,0,,,,,TRUE
EX1_323h,Lord Jaraxxus,Classic,Hero,Warlock,Legendary,0,,15,,Demon,FALSE
DREAM_05,Nightmare,Classic,Spell,Dream,,0,,,,,FALSE
EX1_145,Preparation,Classic,Spell,Rogue,Epic,0,,,,,TRUE
EX1_345t,Shadow of Nothing,Classic,Minion,Priest,,0,0,1,,,FALSE
EX1_144,Shadowstep,Classic,Spell,Rogue,Common,0,,,,,TRUE
EX1_332,Silence,Classic,Spell,Priest,Common,0,,,Silence,,TRUE
CS2_231,Wisp,Classic,Minion,Neutral,Common,0,1,1,,,TRUE
CS2_188,Abusive Sergeant,Classic,Minion,Neutral,Common,1,1,1,Battlecry,,TRUE
EX1_009,Angry Chicken,Classic,Minion,Neutral,Rare,1,1,1,,Beast,TRUE
EX1_008,Argent Squire,Classic,Minion,Neutral,Common,1,1,1,Divine Shield,,TRUE
EX1_014t,Bananas,Classic,Spell,Neutral,,1,,,,,FALSE
EX1_398t,Battle Axe,Classic,Weapon,Warrior,,1,2,2,,,FALSE
EX1_549,Bestial Wrath,Classic,Spell,Hunter,Epic,1,,,,,TRUE
EX1_363,Blessing of Wisdom,Classic,Spell,Paladin,Common,1,,,,,TRUE
CS2_059,Blood Imp,Classic,Minion,Warlock,Common,1,0,1,Stealth,Demon,TRUE
NEW1_025,Bloodsail Corsair,Classic,Minion,Neutral,Rare,1,1,2,Battlecry,Pirate,TRUE
EX1_181,Call of the Void,Classic,Spell,Warlock,Common,1,,,,,TRUE
skele21,Damaged Golem,Classic,Minion,Neutral,,1,2,1,,Mech,FALSE
EX1_130a,Defender,Classic,Minion,Paladin,,1,2,1,,,FALSE
EX1_131t,Defias Bandit,Classic,Minion,Rogue,,1,2,1,,,FALSE
EX1_243,Dust Devil,Classic,Minion,Shaman,Common,1,3,1,"Overload, Windfury",Elemental,TRUE
EX1_245,Earth Shock,Classic,Spell,Shaman,Common,1,,,Silence,,TRUE
EX1_132,Eye for an Eye,Classic,Spell,Paladin,Common,1,,,Secret,,TRUE
EX1_319,Flame Imp,Classic,Minion,Warlock,Common,1,3,2,Battlecry,Demon,TRUE
EX1_614t,Flame of Azzinoth,Classic,Minion,Neutral,,1,2,1,,Elemental,FALSE
EX1_251,Forked Lightning,Classic,Spell,Shaman,Common,1,,,Overload,,TRUE
EX1_409t,Heavy Axe,Classic,Weapon,Warrior,,1,1,3,,,FALSE
EX1_538t,Hound,Classic,Minion,Hunter,,1,1,1,Charge,Beast,FALSE
NEW1_017,Hungry Crab,Classic,Minion,Neutral,Epic,1,1,2,Battlecry,Beast,TRUE
EX1_598,Imp,Classic,Minion,Neutral,,1,1,1,,Demon,FALSE
CS1_129,Inner Fire,Classic,Spell,Priest,Common,1,,,,,TRUE
EX1_029,Leper Gnome,Classic,Minion,Neutral,Common,1,1,1,Deathrattle,,TRUE
EX1_238,Lightning Bolt,Classic,Spell,Shaman,Common,1,,,Overload,,TRUE
EX1_001,Lightwarden,Classic,Minion,Neutral,Rare,1,1,2,,,TRUE
EX1_509,Murloc Tidecaller,Classic,Minion,Neutral,Rare,1,1,2,,Murloc,TRUE
EX1_130,Noble Sacrifice,Classic,Spell,Paladin,Common,1,,,Secret,,TRUE
EX1_182,Pilfer,Classic,Spell,Rogue,Common,1,,,,,TRUE
EX1_136,Redemption,Classic,Spell,Paladin,Common,1,,,Secret,,TRUE
EX1_379,Repentance,Classic,Spell,Paladin,Common,1,,,Secret,,TRUE
EX1_578,Savagery,Classic,Spell,Druid,Rare,1,,,Affected by Spell Power,,TRUE
EX1_080,Secretkeeper,Classic,Minion,Neutral,Rare,1,1,2,Secret,,TRUE
EX1_410,Shield Slam,Classic,Spell,Warrior,Epic,1,,,Affected by Spell Power,,TRUE
EX1_405,Shieldbearer,Classic,Minion,Neutral,Common,1,0,4,Taunt,,TRUE
EX1_554t,Snake,Classic,Minion,Hunter,,1,1,1,,Beast,FALSE
CS2_146,Southsea Deckhand,Classic,Minion,Neutral,Common,1,2,1,Charge,Pirate,TRUE
tt_010a,Spellbender,Classic,Minion,Mage,,1,1,3,,,FALSE
CS2_152,Squire,Classic,Minion,Neutral,,1,2,2,,,FALSE
EX1_tk28,Squirrel,Classic,Minion,Neutral,,1,1,1,,Beast,FALSE
EX1_180,Tome of Intellect,Classic,Spell,Mage,Common,1,,,,,TRUE
EX1_409,Upgrade!,Classic,Spell,Warrior,Rare,1,,,,,TRUE
NEW1_026t,Violet Apprentice,Classic,Minion,Neutral,,1,1,1,,,FALSE
ds1_whelptoken,Whelp,Classic,Minion,Neutral,,1,1,1,,Dragon,FALSE
EX1_116t,Whelp,Classic,Minion,Neutral,,1,1,1,,Dragon,FALSE
EX1_010,Worgen Infiltrator,Classic,Minion,Neutral,Common,1,2,1,Stealth,,TRUE
EX1_317t,Worthless Imp,Classic,Minion,Warlock,,1,1,1,,Demon,FALSE
CS2_169,Young Dragonhawk,Classic,Minion,Neutral,Common,1,1,1,Windfury,Beast,TRUE
EX1_004,Young Priestess,Classic,Minion,Neutral,Rare,1,2,1,,,TRUE
EX1_393,Amani Berserker,Classic,Minion,Neutral,Common,2,2,3,,,TRUE
CS2_038,Ancestral Spirit,Classic,Spell,Shaman,Rare,2,,,Deathrattle,,TRUE
EX1_045,Ancient Watcher,Classic,Minion,Neutral,Rare,2,4,5,,,TRUE
EX1_362,Argent Protector,Classic,Minion,Paladin,Common,2,2,2,"Divine Shield, Battlecry",,TRUE
EX1_402,Armorsmith,Classic,Minion,Warrior,Rare,2,1,4,,,TRUE
EX1_392,Battle Rage,Classic,Spell,Warrior,Common,2,,,,,TRUE
EX1_126,Betrayal,Classic,Spell,Rogue,Common,2,,,,,TRUE
EX1_012,Bloodmage Thalnos,Classic,Minion,Neutral,Legendary,2,1,1,"Deathrattle, Spell Damage",,TRUE
NEW1_018,Bloodsail Raider,Classic,Minion,Neutral,Common,2,2,3,Battlecry,Pirate,TRUE
CS2_073,Cold Blood,Classic,Spell,Rogue,Common,2,,,Combo,,TRUE
NEW1_036,Commanding Shout,Classic,Spell,Warrior,Rare,2,,,,,TRUE
EX1_059,Crazed Alchemist,Classic,Minion,Neutral,Rare,2,2,2,Battlecry,,TRUE
EX1_603,Cruel Taskmaster,Classic,Minion,Warrior,Common,2,2,2,Battlecry,,TRUE
EX1_131,Defias Ringleader,Classic,Minion,Rogue,Common,2,2,2,Combo,,TRUE
EX1_596,Demonfire,Classic,Spell,Warlock,Common,2,,,,,TRUE
EX1_162,Dire Wolf Alpha,Classic,Minion,Neutral,Common,2,2,2,"Adjacent Buff, Aura",Beast,TRUE
NEW1_021,Doomsayer,Classic,Minion,Neutral,Epic,2,0,7,,,TRUE
EX1_124,Eviscerate,Classic,Spell,Rogue,Common,2,,,Combo,,TRUE
EX1_610,Explosive Trap,Classic,Spell,Hunter,Common,2,,,Secret,,TRUE
NEW1_023,Faerie Dragon,Classic,Minion,Neutral,Common,2,3,2,,Dragon,TRUE
EX1_544,Flare,Classic,Spell,Hunter,Rare,2,,,"Stealth, Secret",,TRUE
EX1_611,Freezing Trap,Classic,Spell,Hunter,Common,2,,,Secret,,TRUE
NEW1_040t,Gnoll,Classic,Minion,Neutral,,2,2,2,Taunt,,FALSE
EX1_534t,Hyena,Classic,Minion,Hunter,,2,2,2,,Beast,FALSE
EX1_179,Icicle,Classic,Spell,Mage,Epic,2,,,Freeze,,TRUE
EX1_tk33,INFERNO!,Classic,Hero Power,Warlock,,2,,,,,FALSE
NEW1_019,Knife Juggler,Classic,Minion,Neutral,Rare,2,2,2,,,TRUE
EX1_160b,Leader of the Pack,Classic,Spell,Druid,,2,,,,,FALSE
EX1_341,Lightwell,Classic,Minion,Priest,Rare,2,0,5,,,TRUE
EX1_096,Loot Hoarder,Classic,Minion,Neutral,Common,2,2,1,Deathrattle,,TRUE
EX1_100,Lorewalker Cho,Classic,Minion,Neutral,Legendary,2,0,4,,,TRUE
EX1_082,Mad Bomber,Classic,Minion,Neutral,Common,2,3,2,Battlecry,,TRUE
EX1_055,Mana Addict,Classic,Minion,Neutral,Rare,2,1,3,,,TRUE
EX1_616,Mana Wraith,Classic,Minion,Neutral,Rare,2,2,2,Aura,,TRUE
NEW1_012,Mana Wyrm,Classic,Minion,Mage,Common,2,1,3,,,TRUE
NEW1_037,Master Swordsmith,Classic,Minion,Neutral,Rare,2,1,3,,,TRUE
NEW1_029,Millhouse Manastorm,Classic,Minion,Neutral,Legendary,2,4,4,Battlecry,,TRUE
EX1_625t2,Mind Shatter,Classic,Hero Power,Priest,,2,,,,,FALSE
EX1_625t,Mind Spike,Classic,Hero Power,Priest,,2,,,,,FALSE
EX1_533,Misdirection,Classic,Spell,Hunter,Rare,2,,,Secret,,TRUE
EX1_557,Nat Pagle,Classic,Minion,Neutral,Legendary,2,0,4,,,TRUE
EX1_154b,Nature's Wrath,Classic,Spell,Druid,,2,,,,,FALSE
EX1_160t,Panther,Classic,Minion,Druid,,2,3,2,,Beast,FALSE
EX1_522,Patient Assassin,Classic,Minion,Rogue,Epic,2,1,1,"Stealth, Poisonous",,TRUE
EX1_076,Pint-Sized Summoner,Classic,Minion,Neutral,Rare,2,2,2,Aura,,TRUE
EX1_160,Power of the Wild,Classic,Spell,Druid,Common,2,,,,,TRUE
CS2_104,Rampage,Classic,Spell,Warrior,Common,2,,,,,TRUE
EX1_531,Scavenging Hyena,Classic,Minion,Hunter,Common,2,2,2,,Beast,TRUE
EX1_391,Slam,Classic,Spell,Warrior,Common,2,,,,,TRUE
EX1_554,Snake Trap,Classic,Spell,Hunter,Epic,2,,,Secret,,TRUE
EX1_609,Snipe,Classic,Spell,Hunter,Common,2,,,Secret,,TRUE
EX1_154a,Solar Wrath,Classic,Spell,Druid,,2,,,,,FALSE
EX1_608,Sorcerer's Apprentice,Classic,Minion,Mage,Common,2,3,2,Aura,,TRUE
EX1_tk11,Spirit Wolf,Classic,Minion,Shaman,,2,2,3,Taunt,,FALSE
EX1_247,Stormforged Axe,Classic,Weapon,Shaman,Common,2,2,3,Overload,,TRUE
EX1_160a,Summon a Panther,Classic,Spell,Druid,,2,,,,,FALSE
EX1_058,Sunfury Protector,Classic,Minion,Neutral,Rare,2,2,3,"Taunt, Battlecry",,TRUE
EX1_573t,Treant,Classic,Minion,Druid,,2,2,2,Taunt,,FALSE
EX1_tk9,Treant,Classic,Minion,Druid,,2,2,2,,,FALSE
EX1_158t,Treant,Classic,Minion,Druid,,2,2,2,,,FALSE
NEW1_020,Wild Pyromancer,Classic,Minion,Neutral,Rare,2,3,2,,,TRUE
EX1_154,Wrath,Classic,Spell,Druid,Common,2,,,,,TRUE
EX1_049,Youthful Brewmaster,Classic,Minion,Neutral,Common,2,3,2,Battlecry,,TRUE
DREAM_02,Ysera Awakens,Classic,Spell,Dream,,2,,,,,FALSE
EX1_007,Acolyte of Pain,Classic,Minion,Neutral,Common,3,1,3,,,TRUE
EX1_006,Alarm-o-Bot,Classic,Minion,Neutral,Rare,3,0,3,,Mech,TRUE
